Time,cwnd,ssthresh
13:23:06.851,1,16
13:23:09.105,2,16
13:23:09.627,4,16
13:23:10.165,8,16
13:23:10.750,16,16
13:23:10.798,16,16
13:23:10.809,16,16
13:23:10.821,16,16
13:23:10.821,1,8
13:23:11.325,5,8
13:23:11.872,8,8
13:23:12.456,9,8
13:23:13.053,10,8
13:23:13.656,11,8
13:23:14.279,12,8
13:23:14.918,13,8
13:23:15.555,14,8
13:23:16.201,15,8
13:23:16.856,16,8
13:23:17.535,17,8
13:23:18.215,18,8
13:23:18.908,19,8
13:23:19.606,20,8
13:23:20.319,21,8
13:23:21.038,22,8
13:23:21.772,23,8
13:23:22.514,24,8
13:23:23.267,25,8
13:23:24.033,26,8
13:23:24.812,27,8
13:23:25.594,28,8
13:23:26.393,29,8
13:23:26.536,29,8
13:23:26.547,29,8
13:23:26.559,29,8
13:23:26.559,1,14
13:23:27.060,5,14
13:23:27.609,10,14
13:23:30.610,1,5
13:23:30.612,6,5
13:23:30.612,6,5
13:23:30.613,6,5
13:23:30.613,1,3
13:23:30.613,1,3
13:23:30.613,1,3
13:23:30.615,1,3
13:23:30.616,1,3
13:23:30.617,1,3
13:23:30.617,1,3
13:23:30.617,1,3
13:23:30.619,2,3
13:23:31.138,3,3
13:23:31.664,4,3
13:23:32.199,5,3
13:23:32.745,6,3
13:23:33.300,7,3
13:23:33.868,8,3
13:23:34.449,9,3
13:23:35.041,10,3
13:23:35.465,11,3
13:23:36.075,12,3
13:23:36.695,13,3
13:23:37.326,14,3
13:23:37.972,15,3
13:23:38.626,16,3
13:23:39.297,17,3
13:23:39.971,18,3
13:23:40.656,19,3
13:23:41.349,20,3
13:23:41.372,20,3
13:23:41.381,20,3
13:23:41.392,20,3
13:23:41.393,1,10
13:23:41.895,5,10
13:23:41.917,6,10
13:23:41.928,6,10
13:23:41.939,6,10
13:23:41.939,1,3
13:23:42.440,3,3
13:23:42.961,4,3
13:23:43.497,5,3
13:23:44.044,6,3
13:23:44.600,7,3
13:23:45.169,8,3
13:23:45.744,9,3
13:23:46.336,10,3
13:23:46.937,11,3
13:23:47.546,12,3
13:23:48.163,13,3
13:23:48.795,14,3
13:23:49.437,15,3
13:23:50.091,16,3
13:23:50.766,17,3
13:23:50.801,17,3
13:23:50.812,17,3
13:23:50.823,17,3
13:23:50.823,1,8
13:23:51.325,5,8
13:23:51.871,8,8
13:23:52.456,9,8
13:23:53.046,10,8
13:23:53.647,11,8
13:23:54.259,12,8
13:23:54.884,13,8
13:23:54.933,13,8
13:23:54.944,13,8
13:23:54.954,13,8
13:23:54.954,1,6
13:23:55.458,5,6
13:23:56.007,6,6
13:23:56.566,7,6
13:23:57.131,8,6
13:23:57.709,9,6
13:23:57.779,10,6
13:23:57.790,10,6
13:23:57.800,10,6
13:23:57.800,1,5
13:23:58.304,5,5
13:23:58.852,6,5
13:23:59.409,7,5
13:23:59.978,8,5
13:24:00.342,8,5
13:24:00.342,8,5
13:24:00.344,8,5
13:24:00.344,1,4
13:24:00.344,1,4
13:24:00.345,1,4
13:24:00.847,4,4
13:24:01.381,5,4
13:24:01.930,6,4
13:24:01.953,6,4
13:24:01.963,6,4
13:24:01.975,6,4
13:24:01.976,1,3
13:24:02.481,3,3
13:24:03.007,4,3
13:24:03.544,5,3
13:24:04.091,6,3
13:24:04.648,7,3
13:24:05.218,8,3
13:24:05.799,9,3
13:24:06.392,10,3
13:24:06.995,11,3
13:24:07.607,12,3
13:24:07.652,12,3
13:24:07.662,12,3
13:24:07.673,12,3
13:24:07.673,1,6
13:24:08.175,5,6
13:24:08.723,6,6
13:24:09.281,7,6
13:24:09.840,8,6
13:24:16.077,8,6
13:24:17.647,8,6
13:24:17.647,1,4
13:24:22.018,1,4
13:24:30.023,1,4
